,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1945,2018-19,1610612754,IND,Indiana Pacers,0021800252,2018-11-21T00:00:00,IND @ CHA,L,48.0,0.039625602217419884,-0.6845457694296286,0.488,-0.0766767272865711,0.1694546869398869,0.333,-0.25881385758279485,-0.8019430549110966,0.941,-0.07377474442171265,-1.413554385953536,-1.204382914853234,0.3123555060100659,0.0021478652525513085,-0.8818405553784118,0.8433584129389278,-0.7782665791509256,-0.41905700075819574,-1.37249953442196,-0.1201161373233778,-18.0,1,1231,1231,1231,135,1130,1858,729,1110,972,1396,1367,1894,82,1108,2244,2159,858,1135,1855,371,393,737,2218,1374,2188
1946,2018-19,1610612755,PHI,Philadelphia 76ers,0021800253,2018-11-21T00:00:00,PHI vs. NOP,W,48.0,0.6367182924078381,1.3980582912266086,0.449,-0.34897158784589427,-0.38918820617728317,0.345,0.9053990811939572,0.4191815041814598,0.885,0.1956411059229238,0.2634415549582871,0.3279089025061715,0.5103605333067499,0.5153334404224136,-0.19969657157064433,0.8433584129389278,1.2487646609613914,1.2494674331533915,0.05766426607368659,0.8811540846534717,1.0,1,1,1,1,135,610,232,1438,1372,1510,1311,421,760,291,868,921,893,696,1614,1203,371,2091,2099,1044,495,1176
1947,2018-19,1610612759,SAS,San Antonio Spurs,0021800262,2018-11-21T00:00:00,SAS vs. MEM,L,48.0,-1.1545597781634165,-0.9820606352376632,0.427,-1.1658561695238645,-1.3668132691323303,0.318,1.4043474835268503,0.9619035304448186,0.867,-0.07377474442171265,-0.2955570920123206,-0.2850078244375904,-0.677669630473352,-1.2808160726721058,-1.2229125472822957,0.03254591689400054,0.8433584129389282,-0.18069636734225428,1.0111067997374512,-0.6207512483118025,-1.0,1,1231,1231,1231,135,2135,2042,1829,2102,2256,1629,195,387,379,1108,1450,1431,1752,176,2133,917,1859,940,363,1796,1231
1948,2018-19,1610612741,CHI,Chicago Bulls,0021800257,2018-11-21T00:00:00,CHI vs. PHX,W,48.0,1.0347800858681175,-1.1308180681416797,0.568,-0.0766767272865711,-0.9478310992944524,0.44,0.572766812972028,0.14782049104978073,0.875,-1.690269846489533,0.07710867263475085,-0.8979245513813531,0.7083655606034339,0.7719262280073454,0.1413754203332391,-1.1836728271733903,0.03254591689400134,-0.41905700075819574,-0.18069636734225428,1.131471640147684,8.0,1,1,1,1,135,360,2127,66,1110,1990,372,624,975,327,2360,1101,1966,535,1809,870,2069,1133,737,1295,360,674
1949,2018-19,1610612762,UTA,Utah Jazz,0021800263,2018-11-21T00:00:00,UTA vs. SAC,L,48.0,-0.5574670879729983,-0.08951603781356107,0.432,0.19561813327275246,1.0074190266156415,0.308,0.7390829470829924,1.0975840370106584,0.71,0.4650569562675606,-0.10922420968878438,0.17467972077023144,-0.677669630473352,-1.0242232850871742,-0.19969657157064433,0.8433584129389278,-0.37286033112846223,0.05766426607368659,2.202909966817156,-0.03667695215864153,-9.0,1,1231,1231,1231,135,1678,1301,1729,864,368,1735,510,330,1766,649,1276,1019,1752,290,1203,371,731,1167,42,1300,1788
1950,2018-19,1610612737,ATL,Atlanta Hawks,0021800254,2018-11-21T00:00:00,ATL vs. TOR,L,48.0,0.2386564989475596,0.6542711267065245,0.452,-0.34897158784589427,0.5884368567777643,0.278,-0.5914461258047237,-0.6662625483452571,0.778,-0.34319059476634944,-1.7862201506006075,-1.6640704600610559,-0.08365454858330108,-1.2808160726721058,0.8235194041410069,0.8433584129389278,-1.5890790751958526,0.05766426607368659,0.05766426607368659,-0.20355532248811584,-16.0,1,1231,1231,1231,135,929,626,1381,1372,626,2009,1662,1774,1148,1362,2370,2342,1208,176,409,371,42,1167,1044,1439,2111
1951,2018-19,1610612749,MIL,Milwaukee Bucks,0021800259,2018-11-21T00:00:00,MIL vs. POR,W,48.0,3.2241199498996505,2.88563262026678,0.528,1.0125027149507229,1.8453833662913963,0.333,-0.5914461258047237,-0.8019430549110966,0.824,0.734472806612197,2.1267703781936467,2.1666590833374597,1.8963957243835359,0.0021478652525513085,0.1413754203332391,-1.1836728271733903,0.43795216491646466,0.534385532905569,-0.18069636734225428,2.7168161582776946,43.0,1,1,1,1,135,4,22,289,336,98,1396,1662,1894,741,499,43,45,84,1135,870,2069,1545,1639,1295,26,5
1952,2018-19,1610612761,TOR,Toronto Raptors,0021800254,2018-11-21T00:00:00,TOR @ ATL,W,48.0,1.432841879328396,0.2079988279944735,0.533,-0.0766767272865711,-0.38918820617728317,0.379,-0.09249772347183002,0.012139984483941227,0.739,1.0038886569568342,1.1951059665759662,1.553742356393696,1.6983906970868519,1.2851118031772077,-0.5407685634745282,-1.589079075195854,0.8433584129389282,0.05766426607368659,0.05766426607368659,1.131471640147684,16.0,1,1,1,1,135,201,1047,235,1110,1510,921,1201,1111,1517,356,288,155,126,2147,1543,2316,1859,1167,1044,360,303
1953,2018-19,1610612766,CHA,Charlotte Hornets,0021800252,2018-11-21T00:00:00,CHA vs. IND,W,48.0,0.8357491891379778,-1.2795755010456962,0.563,1.829387296628693,-0.38918820617728317,0.621,0.24013454475009877,-0.12354052208189865,0.864,-1.1514381458002596,-0.8545557389829284,-1.357612096589175,1.104375615196801,-0.5110377099173117,-0.19969657157064433,-0.7782665791509267,0.8433584129389282,-1.37249953442196,-0.41905700075819574,1.3817891956418964,18.0,1,1,1,1,135,478,2193,84,106,1510,9,903,1235,406,2090,1905,2231,308,636,1203,1731,1859,151,1522,249,251
1954,2018-19,1610612742,DAL,Dallas Mavericks,0021800261,2018-11-21T00:00:00,DAL vs. BKN,W,48.0,-0.5574670879729983,-1.5770903668537308,0.487,-0.0766767272865711,-0.6685096527358678,0.407,2.402244288192638,2.4543891026690545,0.78,-0.6126064451109863,0.4497744372818233,0.021450539034290582,-0.677669630473352,-0.25444492233238053,0.8235194041410069,-0.7782665791509267,-1.183672827173389,-0.18069636734225428,2.4412706002330977,0.7142757143239956,6.0,1,1,1,1,135,1678,2303,750,1110,1753,627,36,31,1147,1623,752,1165,1752,890,409,1731,146,940,23,617,831
