,DATE,SNOW,SNWD,TMAX,TMIN,WEEKDAY,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,Flux,PrevFlux24,PrevFlux48,SNOW24,SNOW48,SNOW7,MON,TUE,WED,THU,FRI,SAT,SUN,KMEANS30,KMEANS29,KMEANS28,KMEANS27,KMEANS26,KMEANS25,KMEANS24,KMEANS23,KMEANS22,KMEANS21,KMEANS20,KMEANS19,KMEANS18,KMEANS17,KMEANS16,KMEANS15,KMEANS14,KMEANS13,KMEANS12,KMEANS11,KMEANS10,KMEANS9,KMEANS8,KMEANS7,KMEANS6,KMEANS5,KMEANS4,KMEANS3
21,2003-01-22,0.0,18.0,31.0,4.0,2,12,18,16,-8,-63,-50,-76,89,104,28,-28,49,23,-4,-23,-25,68,-39,-32,-33,-63,-41,-4,3,-79,-211.0,-1288.0,0.0,0.0,2.5,0.0,0.5,1.0,0.5,0.0,0.0,0.0,11,9,5,13,7,19,7,16,1,12,13,8,13,1,0,9,6,12,4,5,8,1,0,0,0,2,0,1
22,2003-01-23,1.0,19.0,35.0,26.0,3,16,6,8,-5,-59,-60,-102,60,80,42,53,58,0,-20,-43,-21,95,-3,39,14,11,-20,12,5,166,-79.0,-290.0,0.0,0.0,2.5,0.0,0.0,0.5,1.0,0.5,0.0,0.0,14,0,2,0,8,0,1,14,4,2,2,16,10,10,15,7,12,11,7,3,3,4,4,6,0,2,0,2
23,2003-01-24,1.0,18.0,40.0,28.0,4,11,8,1,5,-36,-70,-119,68,86,22,-9,63,-33,-26,36,75,144,104,135,75,97,49,-4,0,682,166.0,87.0,1.0,1.0,2.5,0.0,0.0,0.0,0.5,1.0,0.5,0.0,6,25,14,24,17,17,21,2,14,5,9,0,0,16,4,11,5,1,0,6,0,3,2,4,1,1,1,2
24,2003-01-25,0.0,17.0,40.0,27.0,5,6,16,8,10,-21,-32,-46,-23,45,65,-25,18,5,23,-5,19,9,83,78,18,-17,-34,-12,19,207,682.0,848.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,23,2,22,3,19,6,4,20,16,1,8,4,9,2,13,3,9,4,9,1,5,0,5,3,3,3,1,0
25,2003-01-26,0.0,16.0,40.0,27.0,6,5,4,-5,-6,-4,-32,-4,-35,-9,-81,-163,-173,-195,-156,-75,5,37,46,55,10,-13,-24,-20,-2,-835,207.0,889.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,7,18,3,8,11,4,19,9,9,4,5,10,5,4,3,6,1,2,11,9,9,5,1,1,2,0,2,0
26,2003-01-27,0.0,16.0,41.0,17.0,0,7,4,-4,-16,-54,-82,-70,90,43,-17,7,23,-25,-34,29,2,8,-32,-42,-44,-9,0,-25,3,-238,-835.0,-628.0,0.0,0.0,2.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,3,26,6,5,1,9,0,13,3,16,14,12,15,7,1,2,8,10,2,8,6,2,3,5,5,4,3,1
27,2003-01-28,0.0,16.0,40.0,16.0,1,12,8,19,1,-44,-77,-48,109,106,22,23,40,20,-10,-31,-24,26,-6,12,-13,-25,-42,-19,-11,48,-238.0,-1073.0,0.0,0.0,2.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,27,28,23,6,3,13,9,8,5,8,1,1,6,5,6,14,10,0,1,0,2,8,7,2,4,4,3,1
28,2003-01-29,0.0,16.0,38.0,27.0,2,17,10,28,1,-52,-70,-56,144,75,11,34,77,-25,-27,-7,-39,50,56,14,-73,-40,-26,-21,-6,75,48.0,-190.0,0.0,0.0,2.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,2,19,19,17,7,19,22,11,12,19,10,5,12,1,0,9,6,12,4,5,8,1,0,0,0,2,0,1
29,2003-01-30,0.0,16.0,38.0,22.0,3,20,21,25,-4,-51,-56,-41,118,91,50,4,30,0,2,0,-15,113,11,9,-23,1,-17,-17,-13,258,75.0,123.0,0.0,0.0,2.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,14,0,2,0,8,0,15,1,4,2,2,16,10,10,15,7,12,11,7,3,3,4,4,6,0,2,0,2
30,2003-01-31,0.0,16.0,39.0,28.0,4,17,16,20,-3,-36,-58,-82,66,121,-8,-4,32,-35,-35,-42,-11,86,55,87,90,145,37,53,14,525,258.0,333.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.5,0.0,29,17,14,19,2,24,21,2,14,5,9,0,0,16,4,4,5,1,0,6,0,3,2,4,1,1,1,2
